032   "Argentina"
051   "Armenia"
040   "Austria"
050   "Bangladesh"
112   "Belarus"
068   "Bolivia"
072   "Botswana"
076   "Brazil"
854   "Burkina Faso"
116   "Cambodia"
120   "Cameroon"
124   "Canada"
152   "Chile"
156   "China"
170   "Colombia"
188   "Costa Rica"
192   "Cuba"
214   "Dominican Republic"
218   "Ecuador"
818   "Egypt"
222   "El Salvador"
231   "Ethiopia"
242   "Fiji"
250   "France"
276   "Germany"
288   "Ghana"
300   "Greece"
324   "Guinea"
332   "Haiti"
348   "Hungary"
356   "India"
360   "Indonesia"
364   "Iran"
368   "Iraq"
372   "Ireland"
376   "Israel"
380   "Italy"
388   "Jamaica"
400   "Jordan"
404   "Kenya"
417   "Kyrgyz Republic"
430   "Liberia"
454   "Malawi"
458   "Malaysia"
466   "Mali"
484   "Mexico"
496   "Mongolia"
504   "Morocco"
508   "Mozambique"
524   "Nepal"
528   "Netherlands"
558   "Nicaragua"
566   "Nigeria"
586   "Pakistan"
275   "Palestine"
591   "Panama"
600   "Paraguay"
604   "Peru"
608   "Philippines"
616   "Poland"
620   "Portugal"
630   "Puerto Rico"
642   "Romania"
646   "Rwanda"
662   "Saint Lucia"
686   "Senegal"
694   "Sierra Leone"
705   "Slovenia"
710   "South Africa"
728   "South Sudan"
724   "Spain"
729   "Sudan"
756   "Switzerland"
834   "Tanzania"
764   "Thailand"
780   "Trinidad and Tobago"
792   "Turkey"
800   "Uganda"
804   "Ukraine"
826   "United Kingdom"
840   "United States"
858   "Uruguay"
862   "Venezuela"
704   "Vietnam"
894   "Zambia"
